mouth_width,mouth_height,mouth_aspect_ratio,left_eye_height,right_eye_height,eye_openness,eye_aspect_ratio,eyebrow_raise_left,eyebrow_raise_right,eyebrow_slant_left,eyebrow_slant_right,jaw_drop,nose_mouth_dist,mouth_corner_diff,label
0.7089247,0.14507519,0.39241302,0.092568465,0.09482465,0.09369655,0.58259404,0.29460883,0.28285962,0.5242139,0.49559566,1.2773632,0.35464373,0.002167741,happy
0.7892721,0.15313932,0.37798032,0.08620992,0.07049035,0.07835014,0.48819935,0.29886577,0.30193037,0.5079521,0.5218146,1.2839903,0.30783075,0.014680954,happy
0.6868451,0.122154,0.33786646,0.11392211,0.115495294,0.1147087,0.7245208,0.29775137,0.28971627,0.5115507,0.47282973,1.194296,0.29091257,0.0077727335,happy
0.70745736,0.17180613,0.49417102,0.06467208,0.08307001,0.07387105,0.4949532,0.3107825,0.29557562,0.5313682,0.50333124,1.2861139,0.27628332,0.02163984,happy
0.7607805,0.11509578,0.30596945,0.06368554,0.076227486,0.069956504,0.46458027,0.29941377,0.27518353,0.5339238,0.4982611,1.2645057,0.24582228,0.004079096,happy
0.80237156,0.115089275,0.27456984,0.05058457,0.07439703,0.062490802,0.39535886,0.3092855,0.30365556,0.50598,0.51434475,1.2283292,0.29592693,0.037523802,happy
0.7913974,0.16648719,0.41736618,0.067037806,0.08054626,0.07379203,0.47144213,0.29174593,0.2770615,0.5123074,0.5186016,1.286753,0.33129254,0.006798957,happy
0.7479407,0.12347392,0.32890397,0.08064447,0.09371056,0.087177515,0.5628607,0.27734545,0.27183256,0.5189676,0.4971855,1.2706907,0.30145106,0.008203771,happy
0.74719673,0.17957805,0.48672035,0.031207465,0.04144598,0.03632672,0.24510552,0.28703502,0.2829737,0.49978775,0.50217193,1.2619796,0.27691692,0.03101783,happy
0.6949181,0.13312133,0.37439263,0.10071377,0.08617471,0.093444236,0.58623177,0.28998682,0.2862325,0.49771413,0.51543623,1.2542928,0.30055097,0.007997498,happy
0.747806,0.22010107,0.584523,0.0733381,0.07751357,0.07542583,0.49023524,0.28994942,0.27764568,0.51730007,0.50276935,1.2878053,0.32145622,0.032103483,happy
0.7474987,0.17941456,0.42201874,0.06579687,0.052539382,0.059168126,0.3654128,0.2842889,0.2848269,0.48924035,0.4781406,1.1498231,0.330022,0.055412613,happy
0.7336331,0.12133529,0.31374526,0.05442699,0.027819278,0.041123133,0.2583581,0.3140981,0.31364024,0.51785946,0.5077743,1.2794431,0.30559158,0.004145173,happy
0.8637184,0.16773507,0.39798135,0.083975255,0.07993051,0.081952885,0.52826077,0.2902818,0.2956795,0.47630844,0.50980574,1.3326261,0.3079105,0.023802564,happy
0.7206956,0.14915586,0.41191196,0.062674806,0.06146227,0.062068533,0.40721115,0.30541807,0.3001776,0.5230353,0.5176893,1.3129152,0.29424474,0.04922915,happy
0.7191877,0.09583992,0.2550904,0.08244024,0.07753843,0.07998934,0.51863945,0.2768025,0.28494838,0.49324203,0.46375316,1.2130638,0.23088612,0.010860817,happy
0.7631495,0.10518795,0.28198156,0.06809416,0.07697887,0.07253651,0.48249823,0.30138078,0.27790087,0.5362956,0.5009892,1.2701377,0.25165653,0.0037687945,happy
0.7386243,0.11996156,0.3159635,0.08991477,0.0835062,0.08671048,0.55384666,0.27715418,0.2849153,0.5096979,0.51856637,1.2416348,0.25199622,0.053066425,happy
0.81481385,0.13923164,0.31171808,0.085862234,0.08534189,0.08560207,0.51062304,0.2684054,0.2668144,0.47082782,0.48849696,1.2126818,0.31146067,0.009933462,happy
0.7530441,0.16814737,0.46193293,0.036439344,0.037376158,0.036907755,0.24466202,0.30575582,0.29754218,0.5079827,0.48240733,1.3799638,0.3535811,0.006000651,happy
